類・品目,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,持家の帰属家賃及び生鮮食品を除く総合,生鮮食品及びエネルギーを除く総合,食料（酒類を除く）及びエネルギーを除く総合,食料,生鮮食品,生鮮食品を除く食料,穀類,魚介類,生鮮魚介（再掲）,肉類,乳卵類,野菜・海藻,生鮮野菜（再掲）,果物,生鮮果物（再掲）,油脂・調味料,菓子類,調理食品,飲料,酒類,外食,住居,持家の帰属家賃を除く住居,家賃,持家の帰属家賃を除く家賃,設備修繕・維持,光熱・水道,電気代,ガス代,他の光熱,上下水道料,家具・家事用品,家庭用耐久財,室内装備品,寝具類,家事雑貨,家事用消耗品,家事サービス,被服及び履物,衣料,和服,洋服,シャツ・セーター・下着類,シャツ・セーター類,下着類,履物類,他の被服,被服関連サービス,保健医療,医薬品・健康保持用摂取品,保健医療用品・器具,保健医療サービス,交通・通信,交通,自動車等関係費,通信,教育,授業料等,教科書・学習参考教材,補習教育,教養娯楽,教養娯楽用耐久財,教養娯楽用品,書籍・他の印刷物,教養娯楽サービス,諸雑費,理美容サービス,理美容用品,身の回り用品,たばこ,他の諸雑費,エネルギー,教育関係費,教養娯楽関係費,情報通信関係費
201504,0.5,0.4,0.6,0.4,0.5,0.4,1.0,3.8,0.5,0.0,0.2,0.1,0.5,2.6,6.0,9.0,-1.5,-1.6,0.4,0.2,0.8,0.3,0.2,0.3,0.0,0.1,0.0,0.0,0.1,-0.2,-0.5,0.1,-0.3,0.1,0.9,2.2,-0.4,1.6,0.3,0.2,-0.5,2.4,0.1,0.1,0.1,8.0,11.4,0.1,0.6,0.2,0.0,0.6,0.5,0.1,0.7,0.1,-0.9,-0.1,1.0,1.2,1.9,1.4,-0.6,0.4,0.3,0.0,0.0,0.6,0.5,0.2,2.5,0.2,0.0,-0.6,-0.5,1.0,0.2,0.0
201505,0.2,0.1,0.3,0.1,0.0,0.0,0.6,3.1,0.2,0.1,-0.1,-0.4,0.0,0.3,0.9,1.2,10.9,11.6,0.7,0.2,0.1,0.8,-0.1,0.1,-0.1,-0.1,-0.1,0.0,-0.1,0.1,0.8,-1.2,0.4,0.0,-0.2,-0.6,-0.8,0.9,0.2,0.0,0.0,-0.1,-0.4,0.0,-0.4,-0.3,-0.5,0.1,1.1,0.3,0.0,0.2,0.4,0.4,0.0,0.3,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.0,-0.2,0.1,-0.1,0.5,0.0,0.0,0.0,0.6,0.0,0.1,0.0
201506,-0.2,-0.1,-0.2,-0.1,0.0,0.0,-0.5,-3.5,0.1,0.0,-0.6,-0.9,0.3,0.3,-4.3,-6.4,-0.7,-0.8,-0.1,0.4,0.0,-0.2,0.0,0.2,0.0,0.1,0.0,0.0,0.2,-1.3,-1.8,-1.9,0.7,0.1,-0.3,-0.5,-0.5,0.2,-0.1,-0.3,0.0,-0.3,-0.4,0.0,-0.4,-0.5,-0.8,0.5,0.2,-0.2,0.2,0.1,0.1,0.3,0.0,0.2,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.1,3.2,-1.0,0.0,0.2,-0.1,0.1,-0.3,0.0,0.1,0.0,-0.7,0.0,0.0,0.0
201507,-0.2,-0.1,-0.2,-0.1,0.0,0.0,-0.1,-1.3,0.2,0.5,0.7,0.9,-0.1,-0.1,0.5,0.8,-7.0,-7.6,0.0,0.7,0.3,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-2.6,-2.5,0.4,0.0,-0.1,-1.3,-0.9,0.3,0.4,1.2,0.0,-2.9,-3.7,0.3,-3.9,-4.2,-5.9,0.1,0.4,-1.4,0.1,0.1,0.3,0.0,0.0,0.5,1.6,0.2,0.7,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,-1.6,0.0,0.7,0.0
201508,0.1,0.0,0.1,0.0,0.2,0.2,0.5,2.8,0.1,-0.1,1.6,2.8,0.0,0.1,1.3,2.0,4.2,4.5,0.2,0.8,0.2,-0.3,-0.4,0.1,0.0,0.0,0.0,0.0,0.0,-1.5,-1.7,-2.3,-1.8,0.0,-0.2,-0.7,-0.6,-0.4,0.3,0.4,0.0,-1.5,-1.5,0.0,-1.6,-2.9,-4.2,0.1,0.2,-0.8,0.1,-0.1,-0.2,0.0,0.0,-0.2,2.0,-0.9,0.0,0.0,0.0,0.0,0.0,1.7,0.0,1.1,0.3,2.4,0.1,0.0,-0.1,-0.1,0.0,0.4,-2.4,0.0,1.9,0.0
201509,0.1,0.0,0.1,0.0,0.2,0.1,0.8,3.5,0.3,0.5,0.4,0.7,0.6,0.7,5.9,8.6,-2.7,-3.0,-0.1,0.5,0.3,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,-1.8,-2.4,-3.1,0.0,0.1,0.5,-0.1,0.2,0.3,-0.6,0.0,6.3,7.5,-0.4,7.8,10.4,14.8,0.8,0.2,1.9,0.0,-0.1,-0.2,-0.4,0.0,-0.9,-3.1,-0.8,0.0,0.1,0.0,0.0,0.2,-1.0,5.2,-0.2,-0.2,-2.0,0.2,-0.1,0.4,0.3,0.0,0.1,-2.3,0.1,-1.5,0.0
201510,0.0,0.1,0.0,0.1,0.1,0.1,-0.1,-2.6,0.3,0.8,-1.7,-3.1,0.1,0.5,-0.8,-1.3,-4.2,-4.5,0.2,1.3,0.3,-0.2,-0.1,0.1,0.1,0.2,0.0,0.0,0.4,-0.2,0.3,-0.7,-3.9,0.1,0.5,0.1,0.8,1.4,0.5,0.8,0.0,0.5,0.6,0.2,0.7,-0.2,-0.5,0.4,0.8,2.9,-0.1,0.1,-0.4,-0.1,0.4,-0.3,0.0,-0.5,-0.3,0.0,0.0,0.0,0.0,0.2,0.4,-1.4,0.2,0.7,-0.1,0.0,-0.2,0.0,0.0,0.0,-0.6,0.0,0.2,-0.1
201511,-0.4,0.0,-0.4,0.0,0.0,0.0,-1.3,-8.9,0.1,0.3,-0.5,-1.0,0.3,-0.1,-11.4,-16.6,-1.9,-2.1,0.1,0.3,0.1,0.4,-0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.3,-3.0,0.0,0.0,-0.2,-0.3,0.4,0.4,0.1,0.0,0.7,1.6,0.2,1.6,-0.2,-0.4,0.5,0.0,0.6,0.2,0.0,-0.1,-0.4,0.1,-0.1,-0.5,-0.2,0.4,0.0,0.0,0.0,0.0,-0.3,-0.2,-0.3,0.0,-0.4,-0.1,0.0,-0.2,-0.2,0.0,0.0,-0.3,0.0,-0.4,0.0
201512,0.0,-0.1,0.0,-0.1,0.0,0.0,0.2,1.3,0.0,-0.2,0.8,1.1,0.4,0.2,-1.0,-1.4,6.4,6.9,-0.4,-0.2,-0.1,-0.2,-0.4,0.1,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,0.2,-3.3,0.0,0.4,1.6,-0.6,0.3,0.3,-0.6,0.0,-0.8,-1.1,-0.3,-1.2,-1.1,-1.6,0.3,-0.1,-0.3,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.1,1.3,0.1,0.0,0.0,0.1,-0.4,0.8,0.0,0.0,-1.2,0.2,0.3,0.0
201601,-0.3,-0.6,-0.4,-0.7,-0.4,-0.6,1.0,6.2,0.0,0.3,1.2,2.1,0.2,-1.6,4.7,7.3,8.7,9.4,-0.1,0.3,0.2,-0.1,0.2,0.0,0.0,0.0,0.0,0.0,-0.1,-0.7,-0.5,0.1,-10.0,0.0,-0.5,-1.6,-0.5,-1.3,0.3,0.2,0.0,-4.9,-7.7,-0.8,-7.9,-4.4,-6.2,-0.1,0.6,-5.3,0.0,0.0,0.0,0.1,0.0,-0.9,-0.4,-1.5,0.0,0.1,0.0,0.0,0.2,-1.5,-2.0,0.4,0.1,-2.5,0.1,0.0,0.4,-0.4,0.0,0.0,-2.5,0.2,-1.5,0.0
201602,0.1,-0.1,0.1,-0.1,0.1,0.1,0.5,3.4,0.0,-0.1,-0.9,-1.6,0.0,0.3,3.7,5.5,5.1,5.5,0.2,-0.5,0.1,0.2,0.0,0.0,0.0,0.1,0.0,-0.1,0.2,-0.8,-0.8,-0.3,-7.1,0.0,-0.6,-1.5,-0.7,-0.6,0.1,-0.1,0.0,0.5,1.9,1.2,1.9,-1.3,-1.8,-0.1,0.5,-0.3,0.2,-0.1,-0.4,0.2,0.0,-0.5,-0.3,-0.9,0.0,0.5,0.0,0.0,1.7,0.5,1.3,0.1,-0.3,0.8,-0.1,0.1,-0.2,-0.4,0.0,0.0,-1.7,0.4,0.4,0.0
201603,0.1,0.1,0.1,0.2,0.2,0.3,-0.1,-0.8,0.1,0.1,-0.4,-0.6,0.0,0.1,0.1,0.1,-2.6,-2.7,-0.2,0.3,0.0,0.0,-0.3,0.1,0.0,0.1,0.0,0.0,0.1,-0.7,-1.0,-0.8,-0.6,0.0,0.1,-0.8,-0.3,-0.8,2.4,-0.3,0.0,2.6,5.7,-0.1,5.9,-0.5,-0.9,0.3,0.4,4.0,0.1,0.2,0.1,1.0,0.0,-0.1,1.3,-0.3,-0.3,0.0,0.0,0.0,0.1,0.5,0.2,0.6,0.2,0.5,0.1,0.0,0.2,0.7,0.0,0.0,-1.0,0.1,0.7,0.0
201604,0.2,0.3,0.3,0.4,0.3,0.4,-0.2,-1.4,0.0,0.0,-0.1,-0.1,-0.2,0.3,0.6,0.9,-6.5,-6.9,0.4,-0.1,0.1,-0.5,0.4,0.2,0.0,0.2,0.0,0.0,0.3,-0.9,-1.4,-1.2,0.9,0.3,0.8,2.0,0.8,1.8,0.3,-0.4,0.1,2.7,0.4,-0.1,0.5,8.1,11.7,0.1,0.8,0.5,0.2,0.5,-0.1,-0.2,1.0,0.3,-0.8,1.0,-0.3,0.9,1.7,0.0,-0.9,0.6,-0.2,-0.3,0.1,1.1,0.5,0.1,-0.1,0.2,1.6,1.2,0.2,0.7,0.4,-0.5
201605,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.5,0.0,0.0,-0.1,-0.2,0.0,-0.5,-1.9,-2.9,7.6,8.1,0.4,-0.3,0.0,0.0,0.2,0.1,-0.1,0.0,-0.1,-0.1,0.0,0.2,1.0,-1.1,0.2,0.0,0.0,0.0,-0.5,0.3,0.1,-0.2,0.0,-0.1,-0.4,-0.1,-0.4,-0.1,-0.1,0.0,0.4,-0.1,0.0,0.1,0.4,0.1,0.0,0.1,0.0,0.4,-0.6,0.0,0.0,0.0,0.0,0.3,-0.9,0.4,0.0,0.4,0.0,0.0,0.1,0.1,0.0,0.0,0.6,0.0,0.3,-0.5
201606,-0.1,0.0,-0.1,0.0,0.0,-0.1,-0.1,-1.8,0.2,-0.2,0.3,0.1,0.3,-0.2,-0.1,-0.3,-6.2,-6.6,0.6,0.1,0.1,1.3,0.0,0.1,0.0,0.1,-0.1,0.0,0.1,-1.0,-1.7,-1.3,2.8,0.0,-0.6,-1.5,-0.8,0.3,0.2,-0.5,0.0,-0.5,-0.5,0.1,-0.5,-0.9,-1.3,0.1,0.1,-0.4,0.0,0.2,0.5,0.2,0.0,0.5,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,-0.2,-1.3,-1.1,-0.2,0.2,0.0,0.0,-0.2,0.0,0.0,0.0,0.2,0.0,-0.3,0.0
201607,-0.2,-0.2,-0.2,-0.2,-0.1,-0.2,-0.1,-0.7,0.0,0.2,0.5,0.8,0.2,-0.5,0.0,-0.1,-3.2,-3.5,-0.3,0.0,0.2,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-1.1,-1.1,0.7,0.0,-0.8,-2.2,-1.0,-0.3,0.3,-0.2,0.0,-2.6,-3.2,0.1,-3.3,-3.8,-5.4,-0.1,0.0,-1.2,0.1,0.0,0.0,0.2,0.0,0.1,1.7,-0.2,-0.3,0.0,0.0,0.0,0.0,-0.1,-1.2,-0.1,0.2,0.0,-0.1,-0.1,-0.3,-0.2,0.0,0.0,-0.9,0.0,0.2,0.0
201608,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.4,0.0,0.0,1.9,3.2,-0.1,0.2,-1.7,-2.6,2.4,2.6,-0.2,-0.1,0.3,-0.3,-0.4,0.0,0.0,-0.1,0.0,0.0,-0.1,-0.9,-1.1,-1.4,-0.3,0.0,-0.5,-1.4,-1.0,-0.4,-0.1,0.1,0.0,-1.5,-1.4,0.0,-1.4,-3.1,-4.5,0.1,0.1,0.0,0.0,-0.1,-0.3,0.1,0.0,0.1,1.5,-0.2,0.0,0.0,0.0,0.0,0.0,1.2,-2.5,0.5,0.1,2.1,0.1,0.2,-0.1,0.3,0.1,0.0,-1.1,0.0,1.4,0.0
201609,0.2,0.0,0.2,0.0,0.0,0.0,0.7,4.4,0.1,0.3,2.7,4.4,0.2,0.2,7.2,11.0,-7.0,-7.6,0.1,0.4,-0.7,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.6,-1.2,0.3,0.0,-0.2,-1.2,-0.7,0.8,0.4,0.1,0.0,5.4,6.1,-0.3,6.4,9.1,13.0,0.3,0.4,1.4,0.1,0.0,0.1,0.2,0.0,-0.8,-2.8,0.1,-1.4,0.0,0.0,0.0,0.1,-1.1,-0.6,0.0,-0.1,-1.7,0.1,-0.1,0.5,0.3,0.0,0.0,-0.3,0.0,-1.6,0.0
201610,0.6,0.2,0.7,0.2,0.2,0.2,1.6,9.4,0.1,0.8,-2.0,-3.5,-0.3,0.1,12.4,18.0,8.3,9.0,-0.3,0.2,0.0,-0.2,-0.1,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,0.0,-0.3,-0.7,0.1,1.0,2.8,0.7,0.6,-0.1,0.5,0.0,0.2,0.5,0.2,0.5,-0.5,-0.8,0.1,0.1,2.3,-0.1,0.0,-0.1,0.0,0.0,0.1,0.3,0.1,-0.1,0.0,0.0,0.0,0.0,0.9,2.9,0.4,0.0,1.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.9,-0.1
201611,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.5,0.0,0.1,0.2,0.1,0.2,0.1,-0.9,-1.2,0.3,0.3,0.0,0.0,-0.2,0.2,0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.2,3.3,0.1,0.3,0.4,0.4,-0.1,0.4,0.4,0.0,0.5,1.4,0.0,1.5,-0.3,-0.6,0.3,0.1,0.2,0.1,-0.1,-0.2,-0.1,0.0,0.2,-0.6,0.5,-0.1,0.0,0.0,0.0,0.0,-0.5,-0.1,0.3,0.0,-0.9,-0.3,0.0,-1.1,-0.3,0.0,0.0,1.0,0.0,-0.6,0.0
201612,-0.2,0.0,-0.2,0.0,-0.1,-0.1,-0.9,-5.1,0.0,0.0,0.0,-0.2,0.0,0.7,-8.3,-11.6,3.5,3.8,-0.5,0.0,0.1,0.0,-0.5,0.0,0.0,-0.1,0.0,0.0,-0.1,0.8,0.3,0.4,12.0,0.0,0.0,1.5,-0.3,-0.2,-0.2,-1.4,0.1,-1.2,-1.8,-0.2,-1.9,-1.5,-2.0,-0.2,0.2,-1.0,0.4,-0.1,-0.3,-0.3,0.0,0.3,0.3,0.5,0.1,0.0,0.0,0.0,0.0,0.0,-0.5,-0.4,0.0,0.1,-0.1,0.1,-0.7,0.3,0.0,0.0,1.3,0.1,0.0,0.0
201701,-0.2,-0.2,-0.2,-0.3,-0.3,-0.5,0.2,0.7,0.1,0.2,2.0,3.1,0.3,-1.2,-1.9,-2.8,4.4,4.7,0.4,0.0,0.1,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.2,0.7,0.4,0.5,7.7,0.0,0.4,0.9,-0.8,-0.3,0.0,0.9,-0.1,-4.5,-6.9,-0.5,-7.1,-3.7,-5.1,-0.2,-0.2,-5.3,0.0,-0.2,-0.9,0.3,0.0,0.0,-0.3,0.6,-0.9,0.0,0.0,0.0,0.0,-1.2,-0.7,0.0,0.2,-1.9,0.1,0.0,0.6,-0.1,0.0,0.0,1.2,0.0,-1.1,-0.5
201702,-0.1,0.0,-0.1,0.0,0.0,-0.1,-0.4,-2.9,0.1,-0.2,-0.4,-1.0,0.3,0.2,-2.7,-4.0,-3.0,-3.3,0.0,0.0,0.2,-0.1,0.2,0.0,0.0,-0.1,0.0,0.0,-0.1,0.6,0.9,0.6,0.8,0.0,0.1,0.4,0.2,-0.6,0.1,0.1,-0.1,0.6,2.3,0.7,2.4,-1.0,-1.7,0.4,-0.1,-0.3,0.0,0.0,-0.1,-0.2,0.0,-0.5,-0.1,0.0,-1.6,0.1,0.0,0.5,0.2,0.0,0.7,-0.3,0.0,0.1,-0.2,0.0,-0.6,-0.1,0.0,0.0,0.6,0.0,0.0,-0.5
201703,0.1,0.2,0.1,0.2,0.1,0.1,-0.3,-2.6,0.1,0.1,0.4,0.2,0.2,0.2,-2.5,-3.9,-3.4,-3.6,-0.5,0.0,0.1,0.1,0.3,0.0,0.0,0.1,0.0,0.0,0.3,0.7,1.1,0.7,-0.4,0.0,-1.3,-3.0,-0.5,0.2,0.2,-1.7,0.2,2.0,4.3,0.1,4.4,-0.3,-0.5,0.2,-0.5,4.1,0.0,0.1,0.1,0.4,0.0,-0.2,1.0,0.6,-2.4,0.0,0.0,0.0,0.1,0.7,-0.2,0.9,-0.1,1.0,0.2,-0.1,0.9,0.0,0.0,0.0,1.3,0.1,0.9,0.0
201704,0.4,0.4,0.5,0.4,0.3,0.4,0.2,0.8,0.1,0.0,1.1,1.9,-0.1,-0.2,2.0,2.8,-4.1,-4.4,0.6,0.1,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.9,1.5,0.8,-0.5,0.1,0.7,1.4,0.4,0.9,0.3,0.5,0.1,2.0,0.0,0.0,0.0,6.3,9.4,-0.5,0.7,0.4,0.1,0.2,0.9,0.0,0.0,0.5,-0.9,-0.3,2.8,0.5,0.5,0.2,0.6,0.5,0.9,-0.8,0.0,1.0,0.3,0.0,0.3,0.2,0.7,0.5,0.8,0.4,0.3,0.1
201705,0.1,0.2,0.1,0.2,0.1,0.1,-0.1,-0.8,0.1,0.2,-0.9,-1.9,0.4,-0.2,-2.3,-3.5,5.6,6.0,-0.4,-0.1,0.1,0.1,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.6,0.7,-0.1,0.1,-0.2,-0.1,-1.0,-0.1,-0.1,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,-0.1,0.0,0.2,0.6,0.2,0.0,0.1,0.1,-0.1,0.3,0.0,0.0,0.0,0.0,0.3,-1.1,0.7,0.1,0.3,-0.1,0.1,-0.3,-0.1,0.0,0.0,1.2,0.0,0.3,0.0
201706,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,-1.7,0.3,0.0,-0.1,-0.4,-0.2,-0.1,-1.8,-3.0,-1.1,-1.2,0.2,0.1,-0.1,-0.1,4.6,0.0,-0.1,-0.1,0.0,0.0,-0.1,0.3,0.7,0.3,-1.1,0.0,-0.4,-0.3,-1.1,-0.6,0.2,-0.7,0.0,-0.3,-0.3,0.2,-0.3,-0.6,-1.0,0.6,0.0,-0.4,0.0,-0.1,-0.1,-0.2,0.0,0.0,-0.4,-0.2,0.6,-0.3,-0.3,0.0,-0.1,-0.9,-1.3,-0.9,0.1,-1.1,-0.2,0.2,-0.7,-0.1,0.0,0.0,0.0,-0.2,-0.9,0.0
201707,-0.2,-0.1,-0.2,-0.1,-0.1,-0.1,-0.3,-2.3,0.1,0.1,0.0,-0.1,0.3,-0.3,-1.8,-2.9,-3.6,-3.9,1.1,0.3,0.0,-0.3,-0.3,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.2,-0.8,0.2,-0.4,-1.2,-1.0,-0.5,0.2,0.2,0.0,-2.8,-3.5,-0.1,-3.7,-3.8,-5.5,0.3,-0.6,-1.0,0.1,0.1,0.1,0.1,0.0,0.2,1.9,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,-0.6,0.0,0.4,0.1,0.0,0.3,-0.1,0.0,0.0,-0.1,0.0,0.4,0.0
201708,0.2,0.1,0.3,0.2,0.2,0.2,0.3,2.3,-0.1,-0.1,1.2,2.0,0.3,-0.2,0.6,0.8,4.9,5.4,-0.5,-0.2,0.1,-0.3,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.2,0.3,-0.2,0.0,-0.3,-0.5,-1.0,-0.3,-0.1,-0.2,0.0,-0.9,-0.7,-0.1,-0.7,-2.2,-3.1,-0.1,0.5,-0.1,0.0,1.7,0.1,0.1,3.0,-0.3,1.0,0.0,-1.7,0.0,0.0,0.0,0.0,1.7,-1.2,0.7,-0.1,2.7,0.2,0.2,0.8,-0.1,0.0,0.1,0.0,0.0,1.7,-1.4
201709,0.2,0.0,0.3,0.0,0.0,0.0,0.9,4.9,0.1,0.2,4.1,7.1,0.3,0.4,6.8,10.6,-7.1,-7.7,0.2,0.1,0.0,0.2,-0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.3,0.1,0.2,-0.2,-1.0,2.3,0.3,0.1,-0.5,0.0,4.4,4.6,0.3,4.8,8.0,11.6,0.1,0.4,1.0,0.1,0.0,0.1,0.1,0.0,-0.5,-2.2,0.0,-0.4,0.1,0.0,0.0,0.2,-1.3,0.1,-0.4,-0.1,-2.0,-0.1,-0.1,-0.3,0.2,0.0,0.0,0.2,0.1,-1.6,0.0
201710,0.0,0.3,0.0,0.3,0.2,0.2,-0.7,-5.0,0.1,0.6,-2.2,-3.9,-0.2,0.0,-5.2,-8.1,-0.4,-0.4,0.5,0.4,-0.1,0.4,-0.2,0.0,0.1,0.2,0.0,0.0,0.3,0.1,0.0,0.2,2.1,0.0,0.9,2.4,1.3,1.4,-0.3,0.3,0.0,0.4,0.6,-0.1,0.7,-0.1,-0.2,0.0,0.0,2.7,-0.1,-0.2,-0.6,-0.3,0.1,0.7,0.3,0.7,0.9,0.0,0.0,0.0,0.0,0.6,3.9,-0.5,0.0,0.7,0.1,0.0,0.0,0.2,0.4,0.1,0.9,0.0,0.6,0.0
201711,0.4,0.1,0.4,0.1,0.0,0.0,1.1,6.2,0.1,0.6,-0.4,-1.2,0.2,0.1,9.8,15.0,0.3,0.3,-0.6,0.0,0.1,-0.2,-0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.2,4.6,0.0,0.0,-0.2,-0.4,-0.2,-0.1,0.7,0.0,0.4,1.1,-0.1,1.1,-0.3,-0.7,0.4,0.1,-0.2,0.1,-0.1,-0.2,-0.3,0.0,0.4,-0.4,0.9,0.0,0.0,0.0,0.0,0.0,-0.1,0.2,0.2,0.6,-0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,-0.2,0.1
201712,0.3,0.0,0.3,0.0,-0.1,-0.1,1.0,5.9,0.1,-0.1,0.8,0.9,0.0,0.0,5.2,7.7,8.4,9.2,0.0,0.0,0.2,-0.1,-0.2,0.1,-0.1,-0.1,0.0,0.0,-0.2,0.1,-0.2,0.0,3.7,0.0,-0.3,0.4,-0.4,-0.3,-0.5,-1.1,0.0,-1.2,-1.8,0.0,-1.8,-1.2,-1.8,0.4,-0.1,-0.8,0.0,-0.2,-0.2,-0.8,0.0,0.3,0.5,0.4,0.1,0.0,0.0,0.0,0.0,0.1,-1.1,1.5,0.1,-0.3,0.0,0.0,-0.4,0.9,0.0,0.0,0.5,0.1,0.1,0.0
201801,0.1,-0.2,0.2,-0.3,-0.3,-0.4,1.5,8.1,0.2,0.2,1.6,2.4,0.2,-0.2,7.7,10.9,9.1,9.7,0.3,0.1,0.3,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,1.3,0.0,0.1,-0.4,0.4,-0.7,0.4,0.7,0.0,-3.7,-5.5,0.0,-5.7,-3.7,-5.0,-0.5,0.0,-4.1,0.0,-0.1,-0.5,0.1,0.0,-0.1,-0.6,0.1,-0.2,0.0,0.0,0.0,0.0,-1.1,-0.4,-0.3,0.1,-1.8,0.0,0.0,0.1,-0.3,0.0,0.0,0.2,0.0,-1.1,-0.2
201802,0.0,0.1,0.0,0.2,0.1,0.1,-0.6,-3.0,0.0,0.0,-1.2,-2.3,-0.4,-0.1,-2.7,-3.9,-1.7,-1.9,0.0,-0.2,-0.2,-0.2,-0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.1,3.7,0.0,-0.5,-1.3,-1.1,-0.8,0.1,0.3,0.0,0.4,1.8,-0.1,1.8,-1.0,-1.4,0.0,0.1,-0.6,0.3,0.1,0.2,0.3,0.0,0.3,-0.3,0.5,0.0,0.0,0.0,0.0,0.1,0.8,0.3,-0.2,-0.1,1.5,0.0,0.1,0.0,-0.3,0.0,0.0,0.9,0.0,0.7,0.0
201803,-0.3,0.1,-0.4,0.1,0.1,0.1,-1.4,-7.9,0.0,0.1,0.3,0.3,-0.1,0.3,-9.4,-13.6,-5.5,-5.9,-0.6,-0.3,0.2,0.0,-0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.2,0.1,0.0,-1.0,-2.5,0.8,-0.8,-0.1,-0.6,0.0,1.6,3.7,-0.1,3.8,-0.7,-1.0,-0.1,-0.1,3.6,0.3,0.0,-0.3,0.3,0.0,0.1,1.3,-0.2,0.1,0.0,0.0,0.0,-0.1,0.0,-1.2,0.3,0.1,-0.1,0.0,-0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.2,0.1
201804,-0.1,0.2,-0.1,0.3,0.2,0.2,-1.0,-6.7,0.2,0.1,-0.5,-1.2,-0.3,2.7,-7.0,-10.9,-5.0,-5.5,-0.1,-0.2,-0.2,-0.1,0.0,0.2,0.0,0.1,0.0,0.0,0.2,0.5,0.7,0.5,-0.2,0.0,0.6,0.9,-1.6,1.6,0.3,0.8,0.0,2.0,0.2,-0.2,0.3,6.5,9.4,0.0,0.3,0.1,0.4,0.4,0.2,0.0,0.7,-0.2,-0.7,0.1,-0.4,0.5,0.6,0.0,0.6,0.2,-1.6,-0.6,0.0,0.7,0.0,0.0,-0.1,0.3,0.7,-0.1,0.4,0.4,0.0,0.0
201805,0.1,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.3,0.0,0.2,-2.0,-3.3,6.0,6.5,0.2,-0.6,0.0,0.1,-0.2,0.1,0.0,0.1,0.0,0.0,0.1,1.0,1.6,0.5,0.6,0.3,-0.2,0.3,-0.5,0.0,-0.1,-0.8,0.0,0.0,-0.1,0.0,-0.1,0.1,0.2,-0.3,0.1,0.3,0.0,0.2,0.4,0.4,0.0,0.3,-0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.1,0.1,0.0,0.4,-0.1,0.0,0.0,1.4,0.0,0.1,0.0
201806,-0.1,0.0,-0.1,0.0,-0.2,-0.2,-0.4,-2.3,-0.1,0.0,-0.4,-0.6,-0.3,-0.2,-1.1,-1.8,-4.7,-5.1,-0.1,-0.1,-0.1,0.0,-0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.4,4.2,0.0,0.1,0.3,-0.8,-0.2,0.0,0.3,0.0,-0.5,-0.4,0.1,-0.4,-0.8,-1.2,0.3,-0.4,-0.5,0.2,0.1,0.2,0.3,0.0,0.1,-0.3,1.1,-1.9,-0.1,-0.1,0.0,0.0,-0.1,-0.4,-0.8,0.0,0.1,-0.1,0.0,-0.4,0.2,0.0,0.0,1.6,-0.1,-0.2,-1.5
